CMDLINE c:\users\ialrazi\powersynth\cornerstitch_dev\powercad-full\venv_64bit\scripts\python.exe powercad\recursive_suite\perf_test.py
MEM 149.140625 1571608203.0090
MEM 149.140625 1571608203.1090
MEM 149.140625 1571608203.2090
MEM 149.140625 1571608203.3090
MEM 149.140625 1571608203.4100
MEM 149.140625 1571608203.5100
MEM 149.140625 1571608203.6100
MEM 149.140625 1571608203.7100
MEM 149.140625 1571608203.8110
MEM 149.140625 1571608203.9120
MEM 149.140625 1571608204.0120
MEM 149.140625 1571608204.1120
MEM 149.140625 1571608204.2120
MEM 149.140625 1571608204.3130
MEM 149.140625 1571608204.4130
MEM 149.140625 1571608204.5130
MEM 149.140625 1571608204.6130
MEM 149.140625 1571608204.7140
MEM 149.140625 1571608204.8140
MEM 149.140625 1571608204.9140
MEM 149.140625 1571608205.0140
MEM 149.140625 1571608205.1150
MEM 149.140625 1571608205.2150
MEM 149.140625 1571608205.3150
MEM 149.140625 1571608205.4160
MEM 149.140625 1571608205.5160
MEM 149.140625 1571608205.6160
MEM 149.140625 1571608205.7170
MEM 149.140625 1571608205.8170
MEM 149.140625 1571608205.9170
MEM 149.140625 1571608206.0180
MEM 149.140625 1571608206.1190
MEM 149.140625 1571608206.2190
MEM 149.140625 1571608206.3200
MEM 149.140625 1571608206.4200
MEM 149.140625 1571608206.5240
MEM 149.140625 1571608206.6240
MEM 149.140625 1571608206.7250
MEM 149.140625 1571608206.8250
MEM 149.140625 1571608206.9260
MEM 149.140625 1571608207.0260
MEM 149.140625 1571608207.1260
MEM 149.140625 1571608207.2270
MEM 149.140625 1571608207.3270
MEM 149.140625 1571608207.4280
MEM 149.140625 1571608207.5280
MEM 149.140625 1571608207.6280
MEM 149.140625 1571608207.7290
MEM 149.140625 1571608207.8290
MEM 149.140625 1571608207.9290
MEM 149.140625 1571608208.0300
MEM 149.140625 1571608208.1300
MEM 149.140625 1571608208.2310
MEM 149.140625 1571608208.3310
MEM 149.140625 1571608208.4310
MEM 149.140625 1571608208.5310
MEM 149.140625 1571608208.6320
MEM 149.140625 1571608208.7320
MEM 149.140625 1571608208.8330
MEM 149.140625 1571608208.9330
MEM 149.140625 1571608209.0330
MEM 149.140625 1571608209.1340
MEM 149.140625 1571608209.2340
MEM 149.140625 1571608209.3350
MEM 149.140625 1571608209.4350
MEM 149.140625 1571608209.5360
MEM 149.140625 1571608209.6360
MEM 149.140625 1571608209.7370
MEM 149.140625 1571608209.8370
MEM 149.140625 1571608209.9370
MEM 149.140625 1571608210.0370
MEM 149.140625 1571608210.1380
MEM 149.140625 1571608210.2380
MEM 149.140625 1571608210.3380
MEM 149.140625 1571608210.4390
MEM 149.140625 1571608210.5390
MEM 149.140625 1571608210.6400
MEM 149.140625 1571608210.7400
MEM 149.140625 1571608210.8400
MEM 149.140625 1571608210.9400
MEM 149.140625 1571608211.0410
MEM 149.140625 1571608211.1410
MEM 149.140625 1571608211.2410
MEM 149.140625 1571608211.3410
MEM 149.140625 1571608211.4420
MEM 149.140625 1571608211.5420
MEM 149.140625 1571608211.6430
MEM 149.140625 1571608211.7430
MEM 149.140625 1571608211.8440
MEM 149.140625 1571608211.9450
MEM 149.140625 1571608212.0450
MEM 149.140625 1571608212.1450
MEM 149.140625 1571608212.2450
MEM 149.140625 1571608212.3460
MEM 149.140625 1571608212.4460
MEM 149.140625 1571608212.5470
MEM 149.140625 1571608212.6480
MEM 149.140625 1571608212.7480
MEM 149.140625 1571608212.8480
MEM 149.140625 1571608212.9480
MEM 149.140625 1571608213.0490
MEM 149.140625 1571608213.1490
MEM 149.140625 1571608213.2500
MEM 149.140625 1571608213.3500
MEM 149.140625 1571608213.4500
MEM 149.140625 1571608213.5500
MEM 149.140625 1571608213.6510
MEM 149.140625 1571608213.7510
MEM 149.140625 1571608213.8510
MEM 149.140625 1571608213.9520
MEM 149.140625 1571608214.0520
MEM 149.140625 1571608214.1520
MEM 149.140625 1571608214.2520
MEM 149.140625 1571608214.3530
MEM 149.140625 1571608214.4530
MEM 149.140625 1571608214.5530
MEM 149.140625 1571608214.6540
MEM 149.140625 1571608214.7540
MEM 149.140625 1571608214.8550
MEM 149.140625 1571608214.9550
MEM 149.140625 1571608215.0550
MEM 149.140625 1571608215.1560
MEM 149.140625 1571608215.2560
MEM 149.140625 1571608215.3560
MEM 149.140625 1571608215.4570
MEM 149.140625 1571608215.5570
MEM 149.140625 1571608215.6570
MEM 149.140625 1571608215.7570
MEM 149.140625 1571608215.8580
MEM 149.140625 1571608215.9580
MEM 149.140625 1571608216.0580
MEM 149.140625 1571608216.1580
MEM 149.140625 1571608216.2590
MEM 149.140625 1571608216.3590
MEM 149.140625 1571608216.4590
MEM 149.140625 1571608216.5600
MEM 149.140625 1571608216.6600
MEM 149.140625 1571608216.7610
MEM 149.140625 1571608216.8610
MEM 149.140625 1571608216.9610
MEM 149.140625 1571608217.0620
MEM 149.140625 1571608217.1620
MEM 149.140625 1571608217.2620
MEM 149.140625 1571608217.3630
MEM 149.140625 1571608217.4630
MEM 149.140625 1571608217.5630
MEM 149.140625 1571608217.6640
MEM 149.140625 1571608217.7640
MEM 149.140625 1571608217.8650
MEM 149.140625 1571608217.9650
MEM 149.140625 1571608218.0660
MEM 149.140625 1571608218.1660
MEM 149.140625 1571608218.2670
MEM 149.140625 1571608218.3670
MEM 149.140625 1571608218.4670
MEM 149.140625 1571608218.5670
MEM 149.140625 1571608218.6680
MEM 149.140625 1571608218.7690
MEM 149.140625 1571608218.8690
MEM 149.140625 1571608218.9700
MEM 149.140625 1571608219.0700
MEM 149.140625 1571608219.1700
MEM 149.140625 1571608219.2700
